Geneset,All_Pvalue,Down_Pvalue,Up_Pvalue,All_Odds,Down_Odds,Up_Odds
miR-124/124ab/506,8.36473653491694e-06,0.00021396875408399,0.0276853253536773,1.31234754899699,1.30147916276006,1.17489599316247
miR-1ab/206/613,1.27944834896094e-05,0.00224731598557428,0.00529456172279661,1.46709598434426,1.35498780218322,1.35507519964832
miR-142-3p,2.36499630524406e-05,5.91122582040799e-07,0.519663420618542,1.72477273243567,2.07021353344117,0.966868975189465
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666,5.36900178997105e-05,5.56976531363321e-09,0.911607556938581,1.40100526667067,1.76206899404046,0.831385044573813
miR-340-5p,5.47184765254583e-05,1.06987799344937e-08,0.878185744225821,1.32097367599233,1.59332246497282,0.87981641257615
miR-26ab/1297/4465,9.16407641792416e-05,4.41656537589577e-07,0.700988534905544,1.36529983679784,1.60238949827612,0.930411829458666
miR-433,0.000445033691935755,3.8094566804991e-06,0.740318394111297,1.61202370764925,2.05080965148323,0.843031046380957
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac,0.000458281129057058,0.000187351598275271,0.30225456955948,1.3528787189334,1.45798271322089,1.05820069831719
miR-200bc/429/548a,0.000633539450283647,2.20773828233861e-06,0.804076814650603,1.29079329105195,1.5236168308977,0.899318701040619
miR-194,0.00123527154084564,0.000241094072245064,0.422736041618911,1.48689901245293,1.68496289938659,1.01494617171191
miR-204/204b/211,0.0013746903219774,1.71085765713345e-05,0.745664825796069,1.38200783660088,1.66795508345358,0.885849428664022
miR-290-5p/292-5p/371-5p/293,0.00139328580402485,9.65478554023071e-06,0.808728917129519,1.56292310508389,2.0396408834925,0.790131561192292
miR-221/222/222ab/1928,0.00143227445019784,7.21384661385349e-07,0.944962713286207,1.45996235603492,1.98347354807944,0.708857337082461
miR-129-5p/129ab-5p,0.00173972735121137,5.81183948284839e-05,0.657351079885494,1.40657455122373,1.67180419568084,0.915798980873337
miR-503,0.00188115594265929,0.0434753897450388,0.018459368769743,1.44537608099255,1.2868032865435,1.40407573688038
miR-101/101ab,0.00239977898050273,0.000134756432450998,0.609239160147329,1.29327321466594,1.47031060268659,0.954181140985908
