Geneset,All_Pvalue,Down_Pvalue,Up_Pvalue,All_Odds,Down_Odds,Up_Odds
mmu-miR-7056-5p,0.000759185620345504,1,0.000150913910167784,6.19690911328847,1,8.59492970152366
mmu-miR-693-3p,0.000793733453865311,0.151308030805687,0.000547306334353099,3.97464143607026,1.46642984391692,4.52113324805812
mmu-miR-501-5p,0.0019686939293902,1,0.000508652937656668,5.94297392809015,1,8.23935553781271
mmu-miR-344d-3p,0.00207715740110177,0.0487152527294658,0.00616775072265701,2.63549496203244,2.26519100615854,2.51395762017725
mmu-miR-410-3p,0.00207715740110177,0.0487152527294658,0.00616775072265701,2.63549496203244,2.26519100615854,2.51395762017725
mmu-miR-7017-3p,0.00228375176985804,0.0565778737042421,0.00384249327877525,4.64682740088019,2.69187729785906,4.5757840861613
mmu-miR-365-3p,0.00461798411925597,0.447097303771244,0.00113410315990391,2.35667317032006,0.655882967411383,2.92329184379347
mmu-miR-25-3p,0.00746167268428769,0.415951612587456,0.00224406291401504,2.27813845496102,0.698961729883238,2.79767049118555
mmu-miR-367-3p,0.00746167268428769,0.415951612587456,0.00224406291401504,2.27813845496102,0.698961729883238,2.79767049118555
mmu-miR-92b-3p,0.00746167268428769,1,0.000625117382646139,2.27813845496102,1,3.16846076698063
mmu-miR-6964-3p,0.00778452903756751,1,0.00177466813821857,3.37782450209628,1,4.68574016336741
mmu-miR-802-5p,0.0105477459785781,0.182430451680025,0.00976674078056187,2.15768352535376,1.37431821766369,2.32431620829914
mmu-miR-33-3p,0.0146584474145478,0.100705432818951,0.0176207873996281,2.85758284425833,1.89907656318666,2.93948839400678
mmu-miR-7052-3p,0.0153340737463728,0.00197607556941467,0.187436331507116,3.70988897639268,9.27372040751377,1.28139806025485
mmu-miR-767,0.0153340737463728,1,0.00542081899867522,3.70988897639268,1,5.14157800857994
mmu-miR-339-5p,0.0167856985726877,0.16005093827943,0.018190244884359,2.06871840115432,1.4686414539303,2.1720629977749
mmu-miR-344e-3p,0.0167856985726877,0.0487152527294658,0.0475770355336147,2.06871840115432,2.26519100615854,1.84857311402615
mmu-miR-3065-3p,0.0188051196837608,0.0647306821099829,0.0301026030580104,2.9697468627175,2.48449644749967,2.80285445320815
mmu-let-7a-5p,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992
mmu-let-7b-5p,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992
mmu-let-7c-5p,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992
mmu-let-7e-5p,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992
mmu-let-7f-5p,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992
mmu-let-7g-5p,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992
mmu-let-7i-5p,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992
mmu-let-7k,0.0196347064830321,0.0520415429507622,0.0530725265063374,2.01251610148898,2.21330894087999,1.802138751992
mmu-miR-28a-3p,0.0196347064830321,0.167415215233657,0.0207865170415916,2.01251610148898,1.43580270588696,2.11605368996544
mmu-miR-363-3p,0.0196347064830321,1,0.00224406291401504,2.01251610148898,1,2.79767049118555
mmu-miR-455-5p,0.0196347064830321,0.415951612587456,0.00722820688715485,2.01251610148898,0.698961729883238,2.44743638169056
mmu-miR-92a-3p,0.0196347064830321,1,0.00224406291401504,2.01251610148898,1,2.79767049118555
mmu-miR-98-5p,0.0228258000045406,0.0554889634373029,0.0589591646008344,1.95928259700502,2.16379198356421,1.75791776825416
mmu-miR-1952,0.023187605730538,1,0.00840593661345213,3.1794661956757,1,4.40682950495911
mmu-miR-3475-3p,0.023187605730538,1,0.00840593661345213,3.1794661956757,1,4.40682950495911
mmu-miR-6972-5p,0.023187605730538,1,0.00840593661345213,3.1794661956757,1,4.40682950495911
mmu-miR-1950,0.0255072792118963,1,0.00771925436928849,2.69939652914644,1,3.74272338361364
mmu-miR-10a-5p,0.0263799735383719,0.0590568416787122,0.0652417977003451,1.90879038784415,2.11642740199717,1.71580171365405
mmu-miR-10b-5p,0.0263799735383719,0.0590568416787122,0.0652417977003451,1.90879038784415,2.11642740199717,1.71580171365405
mmu-miR-214-3p,0.0263799735383719,0.182430451680025,0.0267606699658424,1.90879038784415,1.37431821766369,2.01224545159297
mmu-miR-425-5p,0.0263799735383719,0.436816211214848,0.00976674078056187,1.90879038784415,0.66964429303323,2.32431620829914
mmu-miR-489-3p,0.0263799735383719,0.182430451680025,0.0267606699658424,1.90879038784415,1.37431821766369,2.01224545159297
mmu-miR-221-5p,0.0284301854700766,1,0.00622694700059357,2.22920844607522,1,3.09363295680838
mmu-miR-141-3p,0.0303173166925982,0.19006998986133,0.0301618627246136,1.86062245338714,1.34550987553217,1.96406217506362
mmu-miR-200a-3p,0.0303173166925982,0.19006998986133,0.0301618627246136,1.86062245338714,1.34550987553217,1.96406217506362
mmu-miR-292b-5p,0.0308746794147106,1,0.00441188037414671,1.91317608581782,1,2.65839187361887
mmu-miR-294-5p,0.0308746794147106,1,0.00441188037414671,1.91317608581782,1,2.65839187361887
mmu-miR-540-3p,0.0330761799223077,1,0.0122931386029705,2.78175382529227,1,3.85511886439912
mmu-miR-1231-5p,0.0335630747456821,0.0821014977661114,0.0475155571016511,2.47402459688759,2.15281044015111,2.37090140835567
mmu-miR-193b-5p,0.0335630747456821,0.0821014977661114,0.0475155571016511,2.47402459688759,2.15281044015111,2.37090140835567
mmu-miR-6400,0.0335630747456821,0.0821014977661114,0.0475155571016511,2.47402459688759,2.15281044015111,2.37090140835567
mmu-miR-6905-5p,0.0335630747456821,0.0821014977661114,0.0475155571016511,2.47402459688759,2.15281044015111,2.37090140835567
mmu-miR-1224-5p,0.0356225599247256,1,0.00523240508042191,1.85959163643268,1,2.58417467181104
mmu-miR-871-5p,0.0390234299706265,0.00381339809404088,0.310561722598674,2.18395324578228,5.14211489011311,1.02488118274015
mmu-miR-7220-3p,0.0408550214114028,1,0.00616775072265701,1.80909535201521,1,2.51395762017725
mmu-miR-145a-3p,0.0430305460232408,0.0912626745034649,0.0579186082698834,2.28336218683579,2.01799730511541,2.20135903421106
mmu-miR-302a-5p,0.0430305460232408,1,0.0137056408048963,2.28336218683579,1,3.1662006020513
mmu-miR-1199-5p,0.0450599867615195,0.0488204256558258,0.0839722871770492,2.47227105104471,2.93703268932926,2.05268033090383
mmu-miR-6388,0.0450599867615195,0.0488204256558258,0.0839722871770492,2.47227105104471,2.93703268932926,2.05268033090383
mmu-let-7d-5p,0.0465902416623138,0.0520415429507622,0.119585858545124,1.76121193069402,2.21330894087999,1.50440771087018
mmu-miR-148a-3p,0.0465902416623138,0.0520415429507622,0.119585858545124,1.76121193069402,2.21330894087999,1.50440771087018
mmu-miR-148b-3p,0.0465902416623138,0.0520415429507622,0.119585858545124,1.76121193069402,2.21330894087999,1.50440771087018
mmu-miR-152-3p,0.0465902416623138,0.0520415429507622,0.119585858545124,1.76121193069402,2.21330894087999,1.50440771087018
mmu-miR-190b-5p,0.0465902416623138,0.415951612587456,0.0207865170415916,1.76121193069402,0.698961729883238,2.11605368996544
mmu-miR-32-5p,0.0465902416623138,1,0.00722820688715485,1.76121193069402,1,2.44743638169056
mmu-miR-382-5p,0.0465902416623138,0.167415215233657,0.0530725265063374,1.76121193069402,1.43580270588696,1.802138751992
mmu-miR-452-5p,0.0465902416623138,1,0.00722820688715485,1.76121193069402,1,2.44743638169056
mmu-miR-544-5p,0.0465902416623138,0.0129576328505294,0.236353303061557,1.76121193069402,3.03420400806358,1.22172576904276
mmu-miR-374c-3p,0.0476699414927271,0.151308030805687,0.0479161308274539,2.06233718144393,1.46642984391692,2.16456203896701
mmu-miR-200a-5p,0.0492871657792175,0.284288680753183,0.0317286196839731,1.8575374768077,0.947287777845849,2.1307598312118
mmu-miR-200b-5p,0.0492871657792175,0.284288680753183,0.0317286196839731,1.8575374768077,0.947287777845849,2.1307598312118
mmu-miR-190a-5p,0.0528440420985699,0.426433118988937,0.0236393360338521,1.71578334275429,0.683991152871583,2.06284836562643
mmu-miR-3059-5p,0.0528440420985699,0.174876965353414,0.0589591646008344,1.71578334275429,1.40439209526405,1.75791776825416
mmu-miR-383-3p,0.0528440420985699,0.00296198401527641,0.425716555468147,1.71578334275429,3.81091421590133,0.93120576185706
mmu-miR-376b-5p,0.0539428916419689,0.0157206079795761,0.211392426832073,2.12006638851046,4.05413283108795,1.28184687259269
mmu-miR-376c-5p,0.0539428916419689,0.0157206079795761,0.211392426832073,2.12006638851046,4.05413283108795,1.28184687259269
mmu-miR-188-3p,0.0574085062757019,0.0341849002690119,0.159392103418433,1.95355924310725,2.94621331634272,1.46612186326327
mmu-miR-210-3p,0.0580120896363329,0.228003261429891,0.0453422824833954,1.85651411644936,1.11140018494914,2.05773982836396
mmu-miR-338-5p,0.0580120896363329,0.0601942749001004,0.122455885379243,1.85651411644936,2.31305814230126,1.58017017684191
mmu-miR-3066-3p,0.059142614082128,1,0.0230863185382969,2.22481342412045,1,3.08363785036811
