Geneset,Up_Total_DE,Up_Total_In_Set,Up_Total_DE_In_Set,Up_Pvalue,Up_Odds,Up_DEGenesInSet
miR-503,1668,263,70,0.000877661663870743,1.56484941099787,Il7r;Ccnd2;Bcl2;Arhgap20;Slc2a3;Smad7;Gpr174;Mov10;Tle4;E2f3;Usp12;Smurf2;1700025G04Rik;Limd2;Chek1;Extl3;Hs3st3b1;Sik1;Slc12a2;Ccnyl1;Ski;Mfn2;Dcaf7;Fchsd2;Iffo2;Phactr2;Bcl9;Adamts3;N4bp1;Nol4l;Kpna3;Cbx4;Nfe2l1;Emc6;Lpp;Prkar2a;Zfp367;Larp1;Dennd1b;Hipk3;Ankrd13b;Pdzd8;Snrk;Zer1;Chpf;Pisd;Ctdspl;Dnaja2;Adgrl1;Kif23;Trim36;Actr2;Smurf1;Tspyl2;Wee1;Rnf138;Cpeb2;Ubfd1;Rfx5;Cxcl10;Usp31;Ube2z;Sec16a;Fbxo33;Jarid2;Neurl1b;Pdap1;Mob3b;Rapgef2;Tmem55a
miR-1ab/206/613,1668,546,130,0.00180722207983472,1.3556049722918,Ccnd2;Fam102a;Bach2;Stk39;Tmem243;Gnpnat1;Zfp36l1;Nampt;Pea15a;Tgfbr3;Coro1c;Hacd3;Arhgef3;Bri3bp;Pde7a;Ppib;Zfp36l2;Pgam1;Tpm4;Crim1;Tmsb4x;Lasp1;Zfp827;Fam69a;Adar;Pola1;Adpgk;Mapk3;Pmepa1;Xpo6;Arf3;Hs3st3b1;Nfatc2;Hspd1;Slc39a10;Prkce;Frmd8;Smarcb1;Kctd10;Dlg4;Ipo8;Sec61a1;Helz2;Nucks1;Utrn;Rap1b;Hspe1;Eml4;Plekho2;Dcp2;Tfe3;Wdr1;Ptbp1;Tpm3;Tspan9;Hmgn1;Sri;Hsp90b1;Bpnt1;Dnmt3a;Papd7;Serp1;Ncoa3;Sptbn1;Nol4l;Lrrc8a;Slc25a25;Srsf9;Ptpn1;Tgif2;Baiap2;Xkr8;Rap1a;Slc37a3;Tcf20;Zbtb4;Etv3;Hipk3;Tmem135;Foxp1;Gnaq;Zmynd8;Peak1;Ap1s1;Daam1;Fam126a;Mrpl35;Actb;Arhgef18;Map4k3;Pxylp1;Nr4a2;Pgrmc1;Slc25a22;Elof1;Tomm70a;Fam101b;Hmgcr;Smyd4;Cap1;Cdc42se1;Ankib1;Lmbr1;Pi4ka;Trappc3;Eml3;Pdrg1;Ajuba;Mxd1;Syncrip;Sh3bgrl3;Rnf138;Mmd;Mfsd14a;Sptlc1;G6pdx;Fam168a;Fubp1;Azin1;Fbxo33;Sod1;Nup50;Jarid2;Letm1;Luzp1;Kif2a;Kctd13;Spred1;Rapgef2;Nadk
miR-124/124ab/506,1668,1296,283,0.00279877864720666,1.22537116460882,Ccnd2;Bach2;Vim;Stk39;Zbtb7b;Irf1;Inpp4b;Rps6ka1;St3gal1;Cotl1;Nr4a1;Sgms1;Mcur1;Lcp1;Slc7a1;Parp9;Ugcg;Pea15a;Gm17296;Slc9a6;Mlec;Flnb;Irf2bpl;Tmem109;Map3k3;Galnt10;Sgpl1;Gng2;Pde7a;Ptpn12;Tfrc;Bcl2l11;Prdx6;Vps37b;Zfp36l2;Traf3;G3bp1;Gsn;Inpp4a;Suclg2;Tle4;Zfp831;Tmem104;Hectd2;Qsox1;Egr2;E2f3;Capn2;Sfxn1;Eif3b;Sept11;Smurf2;E2f6;Raver2;Mllt3;B4galt1;Itm2c;Slc35g1;Erf;Pgm2;Pml;Cand2;Abca2;Pmepa1;Rbl1;Sumf1;Ssr1;Marveld1;Gltp;Rassf5;Limd2;Arhgap39;Rnf114;Slc25a39;Ttc7;Nsun2;Extl3;Sypl;Nfatc2;Tacc2;Zdhhc3;Zfp287;Slc12a2;Zfp706;Frmd8;Ski;Ipo8;Ampd3;Galc;Pgrmc2;Tsen54;Twsg1;Arpc1b;Fam222b;Stt3a;Tox;Usp14;Rap2b;Emc10;Sdad1;Ankrd44;Ipcef1;Arhgef4;Fchsd2;Poglut1;Slc27a1;Tmem134;Iffo2;Cpt1a;Nkrf;Rhog;Rassf3;Snx5;Zfp608;Rcc2;Phactr2;Adamts3;Susd6;Tshz1;Lpin1;Itpr3;Ptbp1;Scamp2;Tbc1d1;Raph1;Slc4a8;Tor3a;Thumpd1;Scd2;Kif1b;N4bp1;Ptpn9;Serp1;Prkag2;Smco4;Rnf19a;Egr1;Tpst2;Akt2;Capn1;Kpna3;Shkbp1;Shc1;Myh9;Rab3d;Tfap4;Lclat1;Slc5a3;Adam19;Iqgap2;Rbms1;Dip2b;Smox;Magt1;Pqlc3;Endod1;Myo1e;Mat2a;Enpp4;Lmo4;Sbk1;Slc35a4;Aldh9a1;Nudcd2;Gpam;B930041F14Rik;Tmem168;Ahr;Snx18;Myo5a;Lpp;Ptpn1;Diaph2;Usp38;Ptbp3;Rufy1;Ppm1f;Xkr8;Pde4d;Rffl;Camta2;Ak2;Larp1;Dennd1b;Etv3;Hipk3;Fam53b;Gng10;Cycs;Ccdc86;St8sia4;Nfatc1;Cbx2;Slc25a1;Gstk1;Rab27a;Cmtr2;Tet1;Ube2o;Ctdspl;Gucd1;Rxra;Adgrl1;Peak1;Elovl5;Sppl2a;Hivep3;Rap2a;Chsy1;Kpnb1;Nacc1;Sept9;Ago2;Fpgs;Tor1aip2;Plec;Sugt1;Ankib1;Lmbr1;St8sia1;Dock5;Ldlrap1;Prps1;Ttc3;Zfp275;Slc50a1;Ikzf2;Zdhhc2;Syncrip;Rpia;Sept10;Surf4;Ncoa2;Sntb2;Ankfy1;Aak1;Ppif;Tmem110;Sptlc1;Man2a1;Mtr;Dcakd;Mapk7;Gpr153;Plagl2;Fubp1;Cnih4;Rfx5;Lmf2;Nhlrc2;Sh3pxd2a;Trabd;Arhgef1;Cpd;Rps6ka4;Mtx3;Zfand3;Bahd1;Abcc4;Farsa;Slc30a7;Neurl1b;Pdcd6;Slc25a13;Hmgxb4;Ccny;Zbtb11;Paxbp1;Arrb1;Ermp1;Evi5;Rnf144a;Snx30;Akap6;Ncoa7;Kif2a;Rapgef2;Kif16b;Osbpl3;Fam219b;Tet3;Actn4;Socs5
miR-15abc/16/16abc/195/322/424/497/1907,1668,884,193,0.0125875509927209,1.21131423239172,Ccnd2;Bach2;Bcl2;Arhgap20;Btla;Plekha1;Slc2a3;Smad7;Gpr174;Slc7a1;Tgfbr3;Mllt6;Smyd5;Mov10;Carm1;Slc9a6;Irf2bpl;Map3k3;Ahcyl2;Cdca7l;Traf3;Tle4;Crim1;Kcnn4;E2f3;Usp12;Cluh;Sept11;Smurf2;Vsir;1700025G04Rik;B4galt1;Map2k1;Slc35g1;Tuba1a;Mapk3;Atf6;Rassf5;Cdon;Limd2;Ccne1;Chek1;Extl3;Arf3;Hs3st3b1;Pdia6;Higd1a;Sypl;Nfatc2;Sik1;Slc12a2;Slc39a10;Ccnyl1;Atp5g1;Ski;Usp14;Nucks1;Mfn2;Litaf;Sil1;Adrb2;Ppp2r1b;Sumo3;Srprb;Dcaf7;Tpt1;Cdc25a;Fchsd2;Nup210;Rftn1;Smad3;Ywhaq;Bcl9;Adamts3;Tspan5;Tnfaip1;Dcp2;Cd28;Lrrc32;Cops7a;Glud1;Slc4a8;Rnf43;Kif1b;Ube2j1;N4bp1;Nol4l;Kpna3;Cbx4;Rab3d;Akt3;Adap1;Map3k4;Nfe2l1;Zfp592;Mink1;Swap70;Vamp8;Rtf1;Dhdds;Eif4b;Dcaf5;Lpp;Tgif2;Psme3;Gpn1;Lypla2;Prkar2a;Zfp367;Irak2;Tmem206;Dennd1b;Etv3;Hipk3;Ankrd13b;Stx1a;Pdzd8;Tmem135;Tmem183a;Snrk;Zer1;Eif2s1;Pisd;Ctdspl;Capns1;Dnaja2;Adgrl1;Kif23;Fam126a;Trim36;Actr2;Atg4b;Ddx19b;Dnajb2;Slc25a22;Rap2c;Kpna1;Smurf1;Def8;Ankib1;Klhl18;Rassf2;Hdgf;Tspyl2;Zfp275;Zbtb34;Wee1;Amigo3;Gskip;Dcun1d4;Fkbp1a;Fam134a;Rnf138;Seh1l;Snx11;Mmd;Arhgef9;Cpeb2;Tmem154;Sptlc1;Man2a1;Atxn7l3b;Gpr153;Ubfd1;Zcchc2;Rfx5;Shcbp1;Fam60a;Sh3pxd2a;Cxcl10;Cpd;Usp31;Txnl4a;Isoc1;Ints3;Dolpp1;Sec16a;Fbxo33;Nup50;Jarid2;Nrp2;Neurl1b;Pdap1;Bag5;Mob3b;Evi5;Ezh1;Luzp1;Ppp6c;Rapgef2;Bcl2l2;Tet3;Tmem55a
miR-22/22-3p,1668,301,70,0.0268567715590058,1.30025713095966,Stk39;Bin1;Tmem164;Map3k5;Mthfd2;Zfp827;1700025G04Rik;Ikzf4;Nhp2;Cyth3;Sephs1;Tiam1;Zfp706;Ski;Slc2a1;Atp8a1;Srf;Ddit4;Cdc6;Cdc25a;4930523C07Rik;Arhgef12;Dnajb5;Rcc2;Htt;Susd6;Tbc1d1;Dnmt3a;Ptpn9;Tyro3;Nol4l;Tmem50b;Akt3;Tet2;Pip4k2b;Mat2a;Rtf1;Trib2;Snx18;Mbp;Lpp;Ptpn1;Prkar2a;Ankrd52;Camta2;Homer1;Ubald1;Tmem183a;Foxp1;Snrk;Tet1;2410015M20Rik;Wdr82;Khnyn;Yars;Sv2a;Mxd1;Net1;Szrd1;Ankfy1;Fam49b;Mbnl1;Ola1;Ttyh3;Pdss1;Jarid2;Pdap1;Arrb1;Snx30;Arpc5
miR-99ab/100,1668,36,11,0.0299174785829822,1.87529615223067,Raver2;Trib1;Hs3st3b1;Arhgef12;Trib2;Etv3;Ctdspl;Ago2;Seh1l;Mbnl1;Smarca5
miR-125a-5p/125b-5p/351/670/4319,1668,604,131,0.0403491955550815,1.19196187480353,Il7r;Itgb3;Lfng;Tnfrsf1b;Irf4;St6gal1;Il6ra;Rps6ka1;Esyt1;Dusp6;Fam65b;Slc7a1;Tspan14;Sgpl1;Pde7a;Cpm;Vps37b;Zfp281;E2f3;Dhx33;Usp12;Sept11;Zfp827;Vsir;Ikzf4;Dusp7;Ppat;Atf6;Limd2;Ttc7;Nrm;Tacc2;Gbp7;Rab8b;Elovl7;Sema4b;Tsen54;Lbh;Wars;Dpy19l1;Lactb;Srf;Mapre2;Ankrd44;Rbm38;Nup210;Cyth1;Sema4f;Elovl1;Rassf3;Susd6;Wdr1;Tbc1d1;Atp10d;Fam118a;Ube2j1;Fbxw4;Tmem201;Ubtd1;Slc16a6;Slc7a6;Rab3d;Lclat1;Tet2;Mknk2;Pip4k2b;Dis3l2;Etv6;Sbk1;Slc35a4;Trib2;Tmem168;Qtrtd1;Snx18;Chtf8;Lpp;Ptpn1;Usp38;Dnajc10;Pik3c2b;Tmtc2;Etv3;Hipk3;Ankrd13b;St8sia4;Tmem135;Ube2w;Peak1;Daam1;Khnyn;Slc27a4;Ppp1ca;Ago2;Nedd9;Smurf1;Ube2r2;Cdc42se1;Plxna1;Rit1;Klf16;Zbtb34;Abhd6;Rnf121;Ajuba;Tle3;Fam134a;Fam234b;Szrd1;Tmem123;Rhobtb2;Plagl2;Ccdc157;Rfx5;Acvr1c;Ncln;Arhgef1;Dynlt3;Hddc3;Zdhhc7;Abcc4;Naa40;Bak1;Dnajc14;Ppp1r16b;Rnf144a;Ggt7;6030458C11Rik;Luzp1;Memo1;Tet3;Pacs2
miR-210,1668,18,6,0.0403502466213091,2.12857148672003,B4galt5;Zadh2;Iscu;2310061I04Rik;Cpeb2;Hif3a
miR-592/599,1668,145,35,0.0498075093117908,1.3595750424886,Foxo1;Enc1;Skil;Prkca;Hs3st3b1;Nfatc2;Pgrmc2;Fam222b;Zc3h12d;BC052040;Tshz1;Set;Baiap2;Rbms2;Pde4d;Vrk1;Tmem206;D17Wsu92e;Tcf20;Zbtb4;Ankrd13b;Agap2;Tanc2;Pdrg1;B3glct;Mctp2;Lrrc59;Tmem154;Fam49b;Lpgat1;Tnrc18;Slc30a1;Evi5;Hnrnpdl;Tet3
miR-126-3p,1668,19,6,0.053700380607823,1.96465500998924,Rgs3;Slc7a5;Ptpn9;Fbxo33;Efhd2;Spred1
